"city","state","slug","growth","densityMi","areaMi","lng","lat","population","pop2026","pop2025","pop2020","pop2010","type","rank"
"New York","New York","new-york/new-york",-0.00765,27778,300.483,-73.9387,40.6627,8346955,8346955,8412513,8740306,8175133,"City",1
"Los Angeles","California","california/los-angeles",-0.00113,8225,470.518,-118.411,34.0194,3869891,3869891,3874297,3896329,3792621,"City",2
"Chicago","Illinois","illinois/chicago",-0.00219,11896,227.748,-87.6849,41.837,2709364,2709364,2715336,2745196,2695598,"City",3
"Houston","Texas","texas/houston",0.00968,3801,640.819,-95.3888,29.7857,2435715,2435715,2412920,2298945,2099451,"City",4
"Phoenix","Arizona","arizona/phoenix",0.00918,3286,518.331,-112.09,33.5722,1703449,1703449,1688306,1612593,1445632,"City",5
"San Antonio","Texas","texas/san-antonio",0.01462,3147,498.922,-98.5246,29.4628,1570314,1570314,1548485,1439340,1327407,"City",6
"Philadelphia","Pennsylvania","pennsylvania/philadelphia",-0.00424,11617,134.325,-75.1333,40.0094,1560480,1560480,1567198,1600788,1526006,"City",7
"San Diego","California","california/san-diego",0.00351,4338,326.028,-117.121,32.8304,1414266,1414266,1409359,1384824,1307402,"City",8
"Dallas","Texas","texas/dallas",0.0043,3937,339.676,-96.7665,32.7933,1337417,1337417,1331752,1303426,1197816,"City",9
"Fort Worth","Texas","texas/fort-worth",0.02165,2984,352.011,-97.3486,32.782,1050336,1050336,1029221,923645,741206,"City",10
"Jacksonville","Florida","florida/jacksonville",0.01466,1390,747.261,-81.6616,30.3369,1038787,1038787,1024310,951925,821784,"City",11
"Austin","Texas","texas/austin",0.00704,3100,325.013,-97.7541,30.2986,1007435,1007435,1000511,965893,790390,"City",12
"San Jose","California","california/san-jose",-0.00307,5570,177.939,-121.815,37.296,991209,991209,994288,1009686,945942,"City",13
"Charlotte","North Carolina","north-carolina/charlotte",0.01869,3133,312.099,-80.831,35.209,977740,977740,960608,874948,731424,"City",14
"Columbus","Ohio","ohio/columbus",0.00726,4266,221.93,-82.9856,39.9855,946661,946661,939962,906466,787033,"City",15
"Indianapolis","Indiana","indiana/indianapolis",0.0012,2475,361.017,-86.1459,39.7767,893619,893619,892551,887213,820445,"Township",16
"San Francisco","California","california/san-francisco",-0.014,17214,46.7,-123.032,37.7272,803876,803876,815701,874826,805235,"City",17
"Seattle","Washington","washington/seattle",0.01319,9538,84,-122.352,47.6193,801192,801192,791093,740600,608660,"City",18
"Hempstead","New York","new-york/hempstead",0.00217,6757,118.514,-73.6091,40.634,800777,800777,796559,790424,759757,"Town",19
"Denver","Colorado","colorado/denver",0.00393,4800,153.074,-104.881,39.7618,734718,734718,731868,717620,600158,"City",20
"Oklahoma City","Oklahoma","oklahoma/oklahoma-city",0.01063,1199,606.998,-97.5137,35.4671,727836,727836,720377,683084,579999,"City",21
"Washington","District of Columbia","district-of-columbia/washington",0.01135,11745,61.126,-77.0165,38.9042,717916,717916,710083,670917,601723,"City",22
"Nashville","Tennessee","tennessee/nashville",0.00545,1498,475.566,-86.785,36.1718,712581,712581,708772,689726,601222,"Township",23
"Las Vegas","Nevada","nevada/las-vegas",0.01168,4896,141.862,-115.264,36.2335,694501,694501,686711,647763,583756,"City",24
"Boston","Massachusetts","massachusetts/boston",0.00382,14298,48.34,-71.0182,42.3386,691168,691168,682313,675522,617594,"City",25
"El Paso","Texas","texas/el-paso",0.00086,2639,258.788,-106.431,31.8478,682893,682893,682308,679382,649121,"City",26
"Detroit","Michigan","michigan/detroit",0.00285,4681,138.735,-83.1022,42.383,649374,649374,647539,638367,713777,"City",27
"Louisville","Kentucky","kentucky/louisville",0.00351,2455,262.836,-85.6474,38.1654,645270,645270,643033,631847,597337,"Township",28
"Portland","Oregon","oregon/portland",-0.00678,4697,133.488,-122.65,45.5369,627040,627040,631394,653166,583776,"City",29
"Memphis","Tennessee","tennessee/memphis",-0.00707,2078,289.758,-89.9685,35.1092,602184,602184,606551,628388,646889,"City",30
"Baltimore","Maryland","maryland/baltimore",-0.0065,6928,80.946,-76.6105,39.3,560812,560812,564541,583189,620961,"City",31
"Tucson","Arizona","arizona/tucson",0.00517,2304,242.884,-110.871,32.153,559695,559695,556854,542649,520116,"City",32
"Albuquerque","New Mexico","new-mexico/albuquerque",-0.00203,2980,187.266,-106.647,35.1048,558046,558046,559186,564885,545852,"City",33
"Milwaukee","Wisconsin","wisconsin/milwaukee",-0.00599,5789,96.173,-87.9667,43.0633,556718,556718,560124,577157,594833,"City",34
"Fresno","California","california/fresno",0.00338,4782,115.818,-119.793,36.7827,553800,553800,551952,542714,494665,"City",35
"Sacramento","California","california/sacramento",0.0048,5483,98.646,-121.468,38.5677,540907,540907,538352,525579,466488,"City",36
"Atlanta","Georgia","georgia/atlanta",0.00979,3919,135.253,-84.4227,33.7629,530106,530106,525088,499998,420003,"City",37
"Mesa","Arizona","arizona/mesa",0.00546,3682,141.961,-111.716,33.3994,522751,522751,519951,505950,439041,"City",38
"Kansas City","Missouri","missouri/kansas-city",0.00387,1653,314.515,-94.5503,39.1252,520000,520000,518016,508096,459787,"City",39
"Raleigh","North Carolina","north-carolina/raleigh",0.01745,3394,152.263,-78.641,35.8319,516807,516807,508316,465861,403892,"City",40
"Miami","Florida","florida/miami",0.02352,14143,35.996,-80.2086,25.7752,509107,509107,498060,442828,399457,"City",41
"Colorado Springs","Colorado","colorado/colorado-springs",0.00605,2470,202.23,-104.761,38.8673,499474,499474,496514,481713,416427,"City",42
"Brookhaven","New York","new-york/brookhaven",0.0044,1916,259.645,-72.9598,40.8574,497541,497541,495150,484592,486040,"Town",43
"Omaha","Nebraska","nebraska/omaha",-0.00179,3410,142.98,-96.0535,41.2627,487506,487506,488385,492783,408958,"City",44
"Virginia Beach","Virginia","virginia/virginia-beach",-0.00266,1849,244.719,-76.0291,36.7795,452375,452375,453591,459673,437994,"City",45
"Oakland","California","california/oakland",0.00145,7949,55.963,-122.226,37.7698,444839,444839,444196,440983,390724,"City",46
"Long Beach","California","california/long-beach",-0.00805,8753,50.672,-118.168,33.7808,443555,443555,447228,465593,462257,"City",47
"Tampa","Florida","florida/tampa",0.01606,3734,114.487,-82.4797,27.9701,427538,427538,421042,388564,335709,"City",48
"Minneapolis","Minnesota","minnesota/minneapolis",-0.00126,7917,54,-93.2683,44.9633,427499,427499,428039,430738,382578,"City",49
"Bakersfield","California","california/bakersfield",0.00742,2816,150.434,-119.038,35.3532,423592,423592,420530,405220,347483,"City",50
"Tulsa","Oklahoma","oklahoma/tulsa",0.0009,2103,197.765,-95.9023,36.1279,415899,415899,415526,413663,391906,"City",51
"Aurora","Colorado","colorado/aurora",0.01028,2506,164.122,-104.721,39.7095,411293,411293,407211,386804,325078,"City",52
"Arlington","Texas","texas/arlington",0.00581,4260,95.842,-97.1247,32.7007,408318,408318,405995,394380,365438,"City",53
"Wichita","Kansas","kansas/wichita",0.00183,2438,165.074,-97.3458,37.6906,402453,402453,401722,398067,382368,"City",54
"Henderson","Nevada","nevada/henderson",0.02323,3023,120.993,-115.027,36.009,365728,365728,357883,318660,257729,"City",55
"Cleveland","Ohio","ohio/cleveland",-0.0044,4659,77.735,-81.6794,41.4785,362142,362142,363760,371853,396815,"City",56
"New Orleans","Louisiana","louisiana/new-orleans",-0.01396,2079,169.5,-89.9345,30.0534,352364,352364,357532,383374,343829,"City",57
"Orlando","Florida","florida/orlando",0.0208,2688,129.601,-81.3202,28.4728,348347,348347,341600,307868,238300,"City",58
"Anaheim","California","california/anaheim",-0.00152,6832,50.283,-117.759,33.8555,343509,343509,344035,346665,336265,"City",59
"Urban Honolulu","Hawaii","hawaii/honolulu",-0.00251,5662,60.622,-157.848,21.3243,343229,343229,344098,348442,337256,"CDP",60
"Islip","New York","new-york/islip",0.00114,3308,103.199,-73.1952,40.715,341430,341430,340300,339101,335543,"Town",61
"Newark","New Jersey","new-jersey/newark",0.01187,13811,24.144,-74.1726,40.7242,333459,333459,325381,310665,277140,"City",62
"Lexington","Kentucky","kentucky/lexington",0.00521,1173,283.855,-84.4583,38.0407,332841,332841,331139,322628,295803,"Urban County",63
"Riverside","California","california/riverside",0.00641,4040,81.149,-117.393,33.9381,327868,327868,325812,315534,303871,"City",64
"Stockton","California","california/stockton",0.00309,5166,63.296,-121.309,37.9766,326977,326977,325976,320971,291707,"City",65
"Irvine","California","california/irvine",0.00813,4935,65.613,-117.771,33.6784,323799,323799,321241,308450,212375,"City",66
"Santa Ana","California","california/santa-ana",0.00394,11640,27.376,-117.883,33.7363,318663,318663,317423,311226,324528,"City",67
"Cincinnati","Ohio","ohio/cincinnati",0.00424,4076,77.914,-84.5058,39.1402,317570,317570,316242,309604,296943,"City",68
"Corpus Christi","Texas","texas/corpus-christi",-0.00076,1889,167.769,-97.1734,27.7543,316833,316833,317075,318285,305215,"City",69
"Greensboro","North Carolina","north-carolina/greensboro",0.0095,2324,134.744,-79.8236,36.0948,313135,313135,310258,295873,269666,"City",70
"Jersey City","New Jersey","new-jersey/jersey-city",0.01115,21158,14.748,-74.0648,40.7114,312042,312042,307433,291960,247597,"City",71
"Durham","North Carolina","north-carolina/durham",0.01717,2601,119.945,-78.8981,35.9779,311965,311965,306917,281679,228330,"City",72
"North Las Vegas","Nevada","nevada/north-las-vegas",0.02923,2948,105.319,-115.089,36.2899,310464,310464,302249,261173,216961,"City",73
